"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 19 12:10:37 GMT 2022","Tue Jul 19 12:10:40 GMT 2022","2980","","SeleniumTest","","SeleniumTest","SelectDayTest","SelectDayTest()",""
"passed","Tue Jul 19 12:10:43 GMT 2022","Tue Jul 19 12:10:50 GMT 2022","7041","","SeleniumTest","","SeleniumTest","AlertTest","AlertTest()",""
"passed","Tue Jul 19 12:10:54 GMT 2022","Tue Jul 19 12:10:55 GMT 2022","1905","","SeleniumTest","","SeleniumTest","NamecardTest","NamecardTest()",""
"passed","Tue Jul 19 12:10:41 GMT 2022","Tue Jul 19 12:10:43 GMT 2022","2430","","SeleniumTest","","SeleniumTest","TableTest","TableTest()",""
"passed","Tue Jul 19 12:10:50 GMT 2022","Tue Jul 19 12:10:54 GMT 2022","3504","","SeleniumTest","","SeleniumTest","TestInput","TestInput()",""
