"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 19 11:05:10 GMT 2022","Tue Jul 19 11:05:17 GMT 2022","7714","","SeleniumTest","","SeleniumTest","AlertTest","AlertTest()",""
"passed","Tue Jul 19 11:05:17 GMT 2022","Tue Jul 19 11:05:21 GMT 2022","3807","","SeleniumTest","","SeleniumTest","TestInput","TestInput()",""
"passed","Tue Jul 19 11:05:06 GMT 2022","Tue Jul 19 11:05:10 GMT 2022","3462","","SeleniumTest","","SeleniumTest","SelectDayTest","SelectDayTest()",""
"passed","Tue Jul 19 11:05:21 GMT 2022","Tue Jul 19 11:05:23 GMT 2022","2259","","SeleniumTest","","SeleniumTest","NamecardTest","NamecardTest()",""
